Nouvelle version: https://lnkd.in/dH5Uq4z9,,,
Titre,Société,Description,Lien
Stage d’été : ReactJS,STARTNOW&CO,"StartNow est une entreprise spécialisée dans la digitalisation des systèmes d’informations avec sa variété de produits internes.

Afin d’accélérer le développement de nos modules front-end tout en assurant une cohérence UX/UI, nous recherchons un(e) stagiaire motivé(e) et curieux(se) pour renforcer notre équipe cet été.

Mission :
• Concevoir et coder des composants React.js en utilisant les hooks.
• Styliser les interfaces avec Chakra UI.
• Gérer l’état de l’application avec Redux (Toolkit).
• Implémenter des tableaux dynamiques avec AG Grid.
• Participer à l’amélioration UX (ergonomie, accessibilité, animations).
• Consommer des API REST.
• Corriger les bugs et tester les composants.
• Travailler en équipe via Jira (tickets, sprints, tâches)Participer aux rituels agiles (dailys, reviews, plannings)en méthodologie agile Scrum.
• Assurer la conformité et la stabilité des livrables en haute qualité.

Exigences :
• Bonnes bases en React.js (Hooks, JSX, State).
• Connaissance de Redux (ou State manager similaire).
• Expérience avec Chakra UI et AG Grid.
• Connaissance de Git et des bonnes pratiques de versioning.
• Expérience avec Jira, VS Code, Postman.
• Sens de l’analyse, rigueur, esprit d’équipe et curiosité technique.
• Bon niveau en français et en anglais.

Avantages :
• Projets variés et innovants avec différents métiers.
• Un environnement agile, orienté innovation.
• Possibilité d’accompagnement après la période de stage (part-time job).
• Télétravail et déplacement.

mots clés: ReactJs, JSX, React Hooks, Chakra UI, AG Grid, Redux, Vite, UX/UI, REST API, Postman.",https://www.keejob.com/offres-emploi/221876/stage-d%C3%A9t%C3%A9-reactjs/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Stage d’été chargé de recrutement,Smart Conseil,"Description du poste

Vous êtes à la recherche d’un stage en ressources humaines dans le domaine du digital ? Rejoignez-nous !

Smart Conseil, éditeur de logiciels en forte croissance spécialisé dans le domaine de l'Intelligence Artificielle, recrute des stagiaires en Ressources Humaines (H/F) pour la période d’été, dans le but de renforcer son équipe RH spécialisée compétente en IT.

En tant que stagiaire, vous participerez, entre autres, aux tâches suivantes :
• Analyser les besoins de recrutement du groupe (en Tunisie et en France).
• Rédiger et mettre en ligne des annonces sur les différentes CVthèques.
• Présélection des candidatures : recrutement sur mission et sur profil.
• Approcher des candidats sur LinkedIn et sur d’autres réseaux professionnels.
• Planification des entrevues de validation avec les managers techniques.
• Qualifier les compétences des candidats lors d’un entretien présentiel ou téléphonique.
• Accompagnement des nouvelles recrues jusqu’à leur intégration dans l’entreprise.
• Coaching des consultants et mise en forme des CV.
• Suivi d’intégration des nouveaux collaborateurs.

Exigence du Poste
• Avoir de bonnes compétences digitales.
• Être issu(e) d'une formation en management, commerce ou en gestion des Ressources Humaines.
• Durée de stage de 3-4 mois.
• Avoir un esprit créatif et autonome.
• Avoir une bonne maîtrise du français à l’écrit comme à l’oral",https://www.offre-emploi.tn/?p=110028&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Stage d’été : Flutter Mobile,STARTNOW&CO,"StartNow est une entreprise spécialisée dans la digitalisation des systèmes d’informations avec sa variété de produits internes.

Afin d’accélérer le développement de nos modules front-end tout en assurant une cohérence UX/UI, nous recherchons un(e) stagiaire motivé(e) et curieux(se) pour renforcer notre équipe cet été.

Mission :
• Développer de nouvelles interfaces complexes et dynamiques en Flutter.
• Implémenter la notion State management (BloC, Provider ou Riverpod selon le cas).
• Optimiser les performances et l’expérience utilisateur (UX/UI).
• Collaborer avec les designers et les développeurs backend (Consommer des API REST et des WebSockets).
• Participer à l’amélioration UX (ergonomie, accessibilité, animations)
• Corriger les bugs et tester les composants
• Mettre en place des tests unitaires et UI
• Déployer l'app sur TestFlight / Play Store (alpha)
• Travailler en équipe via Jira (tickets, sprints, tâches)Participer aux rituels agiles (dailys, reviews, plannings)en méthodologie agile Scrum
• Assurer la conformité et la stabilité des livrables en haute qualité.

Exigences :
• Connaissance des bonnes pratiques Flutter (animations, responsive, accessibilité).
• Excellente maîtrise de Flutter & Dart (niveau avancé).
• Solide compréhension des architectures mobiles (MVC, MVVM, Clean).
• Connaissance de Git et des bonnes pratiques de versioning
• Expérience avec Jira, VS Code, Postman
• Sens de l’analyse, rigueur, esprit d’équipe et curiosité technique
• Bon niveau en français et en anglais

Avantages :
• Projets variés et innovants avec différents métiers.
• Un environnement agile, orienté innovation.
• Possibilité d’accompagnement après la période de stage (part-time job).
• Télétravail et déplacement.

Mots clés: Flutter, Dart, Android, IOS , UX/UI, REST API, Postman.",https://www.keejob.com/offres-emploi/221898/stage-d%C3%A9t%C3%A9-flutter-mobile/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Stage D'été Commercial IT (SECIT2025),Smart Conseil,"Smarte Conseil est un éditeur de logiciels avec une branche conseil spécialisée dans l'IA et le Big Data. Nous accompagnons nos clients dans leur transformation numérique grâce à des solutions innovantes et sur mesure.
Vos missions
En tant que Commercial IT, vous serez au cœur de notre stratégie de développement. Votre rôle consistera à promouvoir nos solutions, développer notre portefeuille client et entretenir des relations solides et durables avec nos partenaires. Vous évoluerez dans un environnement dynamique et collaboratif, où vos compétences relationnelles et votre esprit d’équipe seront valorisés.
Vos principales responsabilités :

Identifier et prospecter de nouveaux clients dans les secteurs IT, IA et Big Data.
Piloter le cycle de vente complet : identification des besoins, présentation des solutions, négociation et signature des contrats.
Assurer des présentations commerciales convaincantes, mettant en avant la valeur ajoutée de nos solutions.
Collaborer activement avec les équipes techniques et marketing pour concevoir des propositions adaptées aux besoins des clients.
Échanger régulièrement avec les clients pour comprendre leurs attentes et entretenir une relation de confiance.
Développer une stratégie de fidélisation pour gérer efficacement les comptes stratégiques.
Analyser le marché et surveiller la concurrence afin d’identifier de nouvelles opportunités commerciales.",https://www.tanitjobs.com/job/1817514/stage-d-%C3%A9t%C3%A9-commercial-it-secit2025/?backPage=3&searchID=1704560918.2604&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Stage d’été : Recherche des subventions en Tunisie,Amine Group,"Nous recherchons un(e) stagiaire pour effectuer des recherches sur les subventions offertes par l'État et fournir des informations sur les documents nécessaires pour les obtenir. Le/la stagiaire sera chargé(e) d'approfondir les différents types de subventions offertes par l'État, de comprendre les critères d'admissibilité et d'identifier les documents spécifiques et les formalités nécessaires pour faire une demande de subvention.

Responsabilités :
• Effectuer des recherches approfondies sur les différents types de subventions gouvernementales offertes, y compris les subventions pour les entreprises, les startups et l'éducation .
• Analyser les critères d'admissibilité et les critères pour chaque type de subvention, et compiler un rapport complet décrivant les qualifications pour l'obtention de ces subventions.
• Identifier et documenter les formalités administratives spécifiques, les formulaires et les documents nécessaires pour faire une demande pour chaque type de subvention gouvernementale.
• Collaborer avec les départements pertinents pour recueillir des informations et des réflexions sur le processus de demande, et formuler des recommandations pour rationaliser et améliorer le processus de documentation.

Qualifications :
• Solides compétences en recherche et en analyse
• Excellentes compétences en communication écrite et verbale
• Orienté(e) vers les détails et organisé(e)
• Capacité à travailler de manière indépendante et en équipe

Avantages :

Ce stage offre l'opportunité d'acquérir une expérience pratique dans la recherche sur les politiques et les programmes gouvernementaux, et de contribuer des éclairages précieux sur le processus d'accès aux subventions gouvernementales. Le/la stagiaire aura la chance de collaborer avec différents départements et de développer une compréhension complète de la documentation requise pour obtenir un soutien financier de l'État. En outre, ce stage offre des opportunités de réseautage précieuses et le potentiel de contribuer de manière significative aux initiatives de l'organisation.",https://www.amine-group.com/jobs/stage-dete-recherche-des-subventions-en-tunisie/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Stages d'été,SMART SKILLS,"Dans le cadre du développement de nos activités, nous proposons un stage d’été (initiation/perfectionnement) pour les étudiants en cybersécurité, développement web, AI, IOT, design graphique...

Veuillez postuler ici et remplir notre formulaire attentivement !",https://smartskills.digi-it.com.tn/jobs/stages-d-ete-184?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Offre de stage d'été,KE TRAVEL ET EVENTS,"Vous êtes étudiant(e) en management et vous souhaitez acquérir une expérience enrichissante dans le secteur dynamique du tourisme et de l’événementiel ? Notre agence vous ouvre ses portes pour un stage d’été stimulant et formateur !
Durée : [juin & juillet / juillet & aout] Niveau : Étudiants en licence en management, gestion, tourisme ou équivalent
Rémuneration selon le profil",https://www.tanitjobs.com/job/1809919/offre-de-stage-d-%C3%A9t%C3%A9/?backPage=68&searchID=1601504866.3592&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Talan Stage d'été International/ Summercamp - Innovation Factory - F/H,Talan,"Vous êtes à la recherche d'un stage d'été avec une expérience professionnelle et personnelle inédite au coeur de la recherche et de l'innovation ?

Cette offre est pour vous !

Osez l'excellence avec le groupe Talan et postulez à notre programme Summercamp'25.

Pendant 8 semaines, entre Paris et Tunis, nous vous offrons l'opportunité unique 'To Walk the Talk' des technologies de pointe, votre 1er allié pour la réussite, et leurs usages ; IA (IA Générative , IAG, Computer vision, NLP, ...), Blockchain (Publique, privé, NFT, DAO, Ethereum, Bitcoin...) et Métavers (XR, MR, Game engine...).

Nous mettons à votre disposition toute notre expertise pour un encadrement 360°, vous serez entourés d'une vingtaine de doctorants ainsi que d'ingénieurs, qui vous accompagneront dans votre démarche de réflexion et vous aideront dans la réalisation de vos idées.

Ce stage sera l'occasion pour vous d'expérimenter des technologies émergentes, et de travailler en mode projet dans le domaine du conseil en innovation, tout en travaillant en équipe et en utilisant l'intelligence collective.",https://jobs.weekday.works/talan-talan-stage-d'%C3%A9t%C3%A9-international%2F-summercamp---innovation-factory---f%2Fh?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Stage d’Été – Système Embarqué,Ste Finstart Vision Afrique,Nous recherchons un(e) stagiaire en systèmes embarqués pour participer à l'amélioration d'un boîtier intelligent interfacé avec notre solution informatique. Le/la stagiaire sera encadré(e) par notre ingénieur système embarqué.,https://www.tanitjobs.com/job/1815617/stage-d-%C3%A9t%C3%A9-syst%C3%A8me-embarqu%C3%A9/?backPage&searchID=1748206831.839&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Stage d'été - Marketing Digital -,IDVEY,"À propos de nous
IDVEY est une entreprise spécialisée dans les logiciels et les systèmes d'information dans l'industrie pharmaceutique. Nous recherchons un(e) stagiaire en marketing digital pour renforcer notre présence en ligne et optimiser nos stratégies digitales.
Missions
Gestion et animation de LinkedInRédaction de contenus (articles, newsletters, posts)Analyse des performances et reporting des actions mises en placeVeille concurrentielle et recommandations stratégiques",https://www.tanitjobs.com/job/1803848/stage-d-%C3%A9t%C3%A9-marketing-digital/?backPage&searchID=1747516652.0157&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Stage d'été,TWIN SERVICE.RIEA,"Vous êtes étudiant (e) à la recherche d’un stage d’été ? Vous avez envie d’enrichir vos connaissances et développer vos compétences au sein d’une équipe dynamique ? Vous êtes sérieux et ambitieux et vous avez la motivation d’apprendre et l’envie de découvrir de nouveaux horizons.
L'agence de voyage TWIN SERVICE vous offre cette opportunité de développement et d’apprentissage à travers un encadrement adapté pour la période de Juin, Juillet et/ou Août 2025.",https://www.tanitjobs.com/job/1801932/stage-d-%C3%A9t%C3%A9/?backPage&searchID=1746770342.6627&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Stagiaire été,UNION DE FACTORING,"Description de l'entreprise STE UNION DE FACTORING

Description du poste Nous recherchons une stagiaire pour un stage d'été au sein de notre équipe. Ce rôle à plein temps vous verra impliqué.e dans diverses tâches administratives et de soutien aux opérations, telles que la gestion de documents, Vous travaillerez en étroite collaboration avec différentes équipes pour assurer le bon déroulement des activités quotidiennes. Ce poste est sur site, basé à Sfax, Tunisie.

Qualifications
• Compétences en gestion administrative : Capacité à gérer des documents, organiser des fichiers et assister dans la préparation de rapports.
• Compétences en communication : Capable de bien communiquer et collaborer avec différents départements et collègues.
• Compétences en informatique : Maîtrise des outils bureautiques tels que Microsoft Office (Word, Excel, PowerPoint).
• Qualités personnelles : Attention aux détails, capacité à travailler de manière autonome et en équipe, et bonne gestion du temps.",https://tn.linkedin.com/jobs/view/stagiaire-%C3%A9t%C3%A9-at-union-de-factoring-4230589033?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Stage d'Été – Assistant(e) RH / Management,ARTUS,"Nous recherchons un(e) stagiaire en Ressources Humaines ou en Management motivé(e) et dynamique pour rejoindre notre équipe durant l’été. Ce stage est une excellente opportunité pour découvrir les coulisses de la gestion d’une entreprise et participer activement aux missions RH et organisationnelles.

En collaboration avec l’équipe, vous participerez à :
• L’assistance dans le processus de recrutement (sourcing, pré-sélections, planification des entretiens)
• La gestion administrative RH (classement de dossiers, mise à jour de bases de données, suivi des absences…)
• L’organisation d’événements internes ou d’activités d’équipe
• La rédaction et la mise en forme de documents RH (contrats, fiches de poste, etc.)
• La participation à des projets transversaux en lien avec la gestion de l’entreprise
• Étudiant(e) en RH, Management, Administration ou domaine connexe
• Bon sens de l’organisation et esprit d’initiative
• À l’aise avec les outils bureautiques (Excel, Word, Outlook…)
• Bon relationnel, autonomie et capacité à travailler en équipe
• Présence sur site obligatoire à notre bureau de Tunis (Belvédère)",https://www.keejob.com/offres-emploi/222380/stage-d%C3%A9t%C3%A9-assistante-rh-management/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Stage d’été en développement,Biomediqa-Tunisie,"BIOMEDIQA-Tunisie est une entreprise à taille humaine spécialisée en développement des logiciels de santé, basée au CyberParc à Kairouan. Dans le cadre de ses projets informatique, notre société cherche des étudiants en cycle d’ingénieur qui souhaitent réaliser leurs stages d’été dans le domaine de la radioprotection et la physique médicale.

L’étudiant sera amené à développer des modules en Java et javascript qui intégreront un logiciel utilisé par des professionnels de santé.

Nos exigences :

Maîtrise de Java.

Maîtrise de la langue française

L’anglais est indispensable",https://www.tunisie-emploi.tn/job/stage-dete-en-developpement/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
"Epic Valor X recrute des stagiaires passionnés par la VR, l’AR et l’IA – Été 2025",Epic Valor X,"Epic Valor X recrute des stagiaires pour l'été 2025 !
Tu es passionné(e) par les technologies immersives et tu recherches un stage captivant entre juin et août 2025 ?
Rejoins Epic Valor X, une startup tunisienne innovante, spécialisée dans les solutions éducatives immersives utilisant la Réalité Virtuelle (VR) et la Réalité Augmentée (AR) !
Postes de stage disponibles :
Développeur Unity (VR/AR) Conception et développement d’expériences interactives en VR/AR à des fins éducatives.
Artiste 3D Création de modèles 3D réalistes, interactifs et d’environnements immersifs.
Ingénieur en Intelligence Artificielle Développement d’algorithmes intelligents pour des expériences d’apprentissage personnalisées.
Développeur Web Conception et création de plateformes web éducatives et interactives.
Ta mission :
Intègre une équipe dynamique et passionnée pour co-développer des projets immersifs innovants. Tu auras l’opportunité de :

Travailler sur des cas concrets et des applications réelles

Améliorer des produits existants

Apporter tes propres idées et les concrétiser

Période de stage : Juin – Août 2025 (3 mois)Lieu : Hybride ou en présentiel (selon le poste et ton lieu de résidence)
✨ Pourquoi rejoindre Epic Valor X ?
Intègre une startup visionnaire et priméeTravaille avec des technologies de pointe en VR, AR et IAÉvolue dans un environnement stimulant, rapide et axé sur l’innovation
Prêt(e) à postuler ? Envoie-nous ton CV et ton portfolio v
#StageÉté2025 #EpicValorX #RéalitéVirtuelle #RéalitéAugmentée #IntelligenceArtificielle #DéveloppementWeb #InnovationTunisienne #Startup #RejoinsNous",https://www.tanitjobs.com/job/1816267/epic-valor-x-recrute-des-stagiaires-passionn%C3%A9s-par-la-vr-l-ar-et-l-ia-%C3%A9t%C3%A9-2025/?backPage&searchID=1714753521.326&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
DIGINOVA recrute un(e) stagiaire en marketing pour un stage d’été !,DigiNova Formation et Consulting,"Tu es étudiant(e) en marketing, communication ou digital et tu cherches une opportunité concrète pour mettre en pratique tes compétences ? DIGINOVA, centre de formation et de consulting basé à Sousse, ouvre ses portes à un(e) stagiaire en marketing motivé(e) et créatif(ve) pour un stage d'été stimulant !",https://www.tanitjobs.com/job/1820714/diginova-recrute-un-e-stagiaire-en-marketing-pour-un-stage-d-%C3%A9t%C3%A9/?backPage=7&searchID=1698089446.739&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Stage Marketing Digital – Été 2025,saprism,"Saprism, startup innovante spécialisée en création de sites e-commerce et marketing digital, recherche 2 stagiaires motivé(e)s pour rejoindre notre équipe dynamique.
Ce que vous ferez chez Saprism :
– Prendre des photos de qualité professionnelle des produits de nos clients– Rédiger des descriptions produit précises et attractives pour enrichir la base de données– Concevoir des affiches et visuels impactants pour nos pages Facebook et Instagram– Réaliser des vidéos courtes et créatives pour booster l’engagement sur les réseaux sociaux– Participer à la création et à la gestion de contenu digital innovant
Ce que nous attendons de vous :
– Être sociable, dynamique et autonome, capable d’interagir facilement avec les clients– Avoir une bonne maîtrise du marketing digital et des réseaux sociaux– Connaître les outils de création graphique (Canva, Photoshop, etc.) et de montage vidéo– Être curieux(se) et à l’affût des nouvelles technologies et tendances digitales– Être motivé(e) à apprendre et à évoluer avec une startup en pleine croissance
Ce que nous offrons :
– Une expérience pratique et formatrice au sein d’une startup dynamique– La possibilité d’un stage PFE pour les meilleur(e)s candidat(e)s– Des perspectives réelles de recrutement en CDI à l’issue du stage– Un environnement de travail collaboratif, stimulant et orienté innovation
Postulez dès maintenant– Envoyez votre CV et des exemples de vos travaux précédents – Rejoignez-nous pour contribuer à des projets digitaux passionnants et développer vos compétences !",https://www.tanitjobs.com/job/1815701/stage-marketing-digital-%C3%A9t%C3%A9-2025/?backPage&searchID=1748012242.4246&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
